cell,species,Habitat
253745,Abies nordmanniana,DryPoor
253746,Abies nordmanniana,DryPoor
256044,Abies nordmanniana,DryPoor
256045,Abies nordmanniana,DryPoor
256046,Abies nordmanniana,DryPoor
256047,Abies nordmanniana,DryPoor
258344,Abies nordmanniana,DryPoor
258345,Abies nordmanniana,DryPoor
258346,Abies nordmanniana,DryPoor
262944,Abies nordmanniana,DryPoor
278976,Abies nordmanniana,DryPoor
278977,Abies nordmanniana,DryPoor
281276,Abies nordmanniana,DryPoor
311227,Abies nordmanniana,DryPoor
311228,Abies nordmanniana,DryPoor
311229,Abies nordmanniana,DryPoor
313526,Abies nordmanniana,DryPoor
315826,Abies nordmanniana,DryPoor
315827,Abies nordmanniana,DryPoor
315828,Abies nordmanniana,DryPoor
315829,Abies nordmanniana,DryPoor
315830,Abies nordmanniana,DryPoor
318032,Abies nordmanniana,DryPoor
318033,Abies nordmanniana,DryPoor
318126,Abies nordmanniana,DryPoor
318127,Abies nordmanniana,DryPoor
318129,Abies nordmanniana,DryPoor
320331,Abies nordmanniana,DryPoor
320332,Abies nordmanniana,DryPoor
320333,Abies nordmanniana,DryPoor
320334,Abies nordmanniana,DryPoor
320427,Abies nordmanniana,DryPoor
320428,Abies nordmanniana,DryPoor
320429,Abies nordmanniana,DryPoor
322631,Abies nordmanniana,DryPoor
322632,Abies nordmanniana,DryPoor
322633,Abies nordmanniana,DryPoor
322634,Abies nordmanniana,DryPoor
322635,Abies nordmanniana,DryPoor
324931,Abies nordmanniana,DryPoor
324932,Abies nordmanniana,DryPoor
324933,Abies nordmanniana,DryPoor
324934,Abies nordmanniana,DryPoor
324935,Abies nordmanniana,DryPoor
327231,Abies nordmanniana,DryPoor
327232,Abies nordmanniana,DryPoor
327233,Abies nordmanniana,DryPoor
327234,Abies nordmanniana,DryPoor
407864,Abies nordmanniana,DryPoor
410163,Abies nordmanniana,DryPoor
410166,Abies nordmanniana,DryPoor
412464,Abies nordmanniana,DryPoor
412467,Abies nordmanniana,DryPoor
414733,Abies nordmanniana,DryPoor
414734,Abies nordmanniana,DryPoor
416984,Abies nordmanniana,DryPoor
417033,Abies nordmanniana,DryPoor
417065,Abies nordmanniana,DryPoor
421581,Abies nordmanniana,DryPoor
423881,Abies nordmanniana,DryPoor
423882,Abies nordmanniana,DryPoor
446888,Abies nordmanniana,DryPoor
449186,Abies nordmanniana,DryPoor
449187,Abies nordmanniana,DryPoor
449188,Abies nordmanniana,DryPoor
449189,Abies nordmanniana,DryPoor
451486,Abies nordmanniana,DryPoor
451487,Abies nordmanniana,DryPoor
451490,Abies nordmanniana,DryPoor
453786,Abies nordmanniana,DryPoor
453787,Abies nordmanniana,DryPoor
453788,Abies nordmanniana,DryPoor
453789,Abies nordmanniana,DryPoor
453790,Abies nordmanniana,DryPoor
453859,Abies nordmanniana,DryPoor
453860,Abies nordmanniana,DryPoor
453861,Abies nordmanniana,DryPoor
456086,Abies nordmanniana,DryPoor
456087,Abies nordmanniana,DryPoor
456089,Abies nordmanniana,DryPoor
456158,Abies nordmanniana,DryPoor
456159,Abies nordmanniana,DryPoor
456160,Abies nordmanniana,DryPoor
456161,Abies nordmanniana,DryPoor
456162,Abies nordmanniana,DryPoor
458458,Abies nordmanniana,DryPoor
458459,Abies nordmanniana,DryPoor
458460,Abies nordmanniana,DryPoor
458461,Abies nordmanniana,DryPoor
458462,Abies nordmanniana,DryPoor
460759,Abies nordmanniana,DryPoor
460760,Abies nordmanniana,DryPoor
460761,Abies nordmanniana,DryPoor
460762,Abies nordmanniana,DryPoor
463060,Abies nordmanniana,DryPoor
463061,Abies nordmanniana,DryPoor
483665,Abies nordmanniana,DryPoor
483666,Abies nordmanniana,DryPoor
485964,Abies nordmanniana,DryPoor
485965,Abies nordmanniana,DryPoor
485966,Abies nordmanniana,DryPoor
485967,Abies nordmanniana,DryPoor
488264,Abies nordmanniana,DryPoor
488265,Abies nordmanniana,DryPoor
488267,Abies nordmanniana,DryPoor
488268,Abies nordmanniana,DryPoor
490566,Abies nordmanniana,DryPoor
490567,Abies nordmanniana,DryPoor
490568,Abies nordmanniana,DryPoor
492864,Abies nordmanniana,DryPoor
492865,Abies nordmanniana,DryPoor
492866,Abies nordmanniana,DryPoor
492867,Abies nordmanniana,DryPoor
554896,Abies nordmanniana,DryPoor
557195,Abies nordmanniana,DryPoor
559495,Abies nordmanniana,DryPoor
559497,Abies nordmanniana,DryPoor
559498,Abies nordmanniana,DryPoor
561795,Abies nordmanniana,DryPoor
561797,Abies nordmanniana,DryPoor
601050,Abies nordmanniana,DryPoor
603349,Abies nordmanniana,DryPoor
603352,Abies nordmanniana,DryPoor
603353,Abies nordmanniana,DryPoor
605649,Abies nordmanniana,DryPoor
605650,Abies nordmanniana,DryPoor
605651,Abies nordmanniana,DryPoor
605652,Abies nordmanniana,DryPoor
605653,Abies nordmanniana,DryPoor
607950,Abies nordmanniana,DryPoor
607952,Abies nordmanniana,DryPoor
638038,Abies nordmanniana,DryPoor
638039,Abies nordmanniana,DryPoor
638040,Abies nordmanniana,DryPoor
640339,Abies nordmanniana,DryPoor
640341,Abies nordmanniana,DryPoor
642641,Abies nordmanniana,DryPoor
644941,Abies nordmanniana,DryPoor
669904,Abies nordmanniana,DryPoor
669905,Abies nordmanniana,DryPoor
669906,Abies nordmanniana,DryPoor
669907,Abies nordmanniana,DryPoor
672203,Abies nordmanniana,DryPoor
672204,Abies nordmanniana,DryPoor
672205,Abies nordmanniana,DryPoor
672206,Abies nordmanniana,DryPoor
672207,Abies nordmanniana,DryPoor
672208,Abies nordmanniana,DryPoor
674503,Abies nordmanniana,DryPoor
674504,Abies nordmanniana,DryPoor
674505,Abies nordmanniana,DryPoor
674506,Abies nordmanniana,DryPoor
674508,Abies nordmanniana,DryPoor
676804,Abies nordmanniana,DryPoor
676806,Abies nordmanniana,DryPoor
676807,Abies nordmanniana,DryPoor
676808,Abies nordmanniana,DryPoor
679105,Abies nordmanniana,DryPoor
679106,Abies nordmanniana,DryPoor
782775,Abies nordmanniana,DryPoor
782776,Abies nordmanniana,DryPoor
785074,Abies nordmanniana,DryPoor
785076,Abies nordmanniana,DryPoor
787374,Abies nordmanniana,DryPoor
787375,Abies nordmanniana,DryPoor
787376,Abies nordmanniana,DryPoor
789674,Abies nordmanniana,DryPoor
789675,Abies nordmanniana,DryPoor
791907,Abies nordmanniana,DryPoor
791908,Abies nordmanniana,DryPoor
791909,Abies nordmanniana,DryPoor
791975,Abies nordmanniana,DryPoor
794206,Abies nordmanniana,DryPoor
794207,Abies nordmanniana,DryPoor
794208,Abies nordmanniana,DryPoor
794209,Abies nordmanniana,DryPoor
794210,Abies nordmanniana,DryPoor
794220,Abies nordmanniana,DryPoor
794221,Abies nordmanniana,DryPoor
796505,Abies nordmanniana,DryPoor
796506,Abies nordmanniana,DryPoor
796507,Abies nordmanniana,DryPoor
796510,Abies nordmanniana,DryPoor
796519,Abies nordmanniana,DryPoor
796521,Abies nordmanniana,DryPoor
796522,Abies nordmanniana,DryPoor
798805,Abies nordmanniana,DryPoor
798807,Abies nordmanniana,DryPoor
798808,Abies nordmanniana,DryPoor
798809,Abies nordmanniana,DryPoor
798819,Abies nordmanniana,DryPoor
798820,Abies nordmanniana,DryPoor
798822,Abies nordmanniana,DryPoor
798823,Abies nordmanniana,DryPoor
801105,Abies nordmanniana,DryPoor
801106,Abies nordmanniana,DryPoor
801107,Abies nordmanniana,DryPoor
801108,Abies nordmanniana,DryPoor
801109,Abies nordmanniana,DryPoor
801119,Abies nordmanniana,DryPoor
801120,Abies nordmanniana,DryPoor
801121,Abies nordmanniana,DryPoor
801122,Abies nordmanniana,DryPoor
801123,Abies nordmanniana,DryPoor
803404,Abies nordmanniana,DryPoor
803405,Abies nordmanniana,DryPoor
803406,Abies nordmanniana,DryPoor
803407,Abies nordmanniana,DryPoor
803422,Abies nordmanniana,DryPoor
805703,Abies nordmanniana,DryPoor
805704,Abies nordmanniana,DryPoor
805705,Abies nordmanniana,DryPoor
805706,Abies nordmanniana,DryPoor
805707,Abies nordmanniana,DryPoor
808003,Abies nordmanniana,DryPoor
808004,Abies nordmanniana,DryPoor
808005,Abies nordmanniana,DryPoor
808006,Abies nordmanniana,DryPoor
808007,Abies nordmanniana,DryPoor
810303,Abies nordmanniana,DryPoor
810304,Abies nordmanniana,DryPoor
810305,Abies nordmanniana,DryPoor
810306,Abies nordmanniana,DryPoor
810307,Abies nordmanniana,DryPoor
812604,Abies nordmanniana,DryPoor
812605,Abies nordmanniana,DryPoor
816980,Abies nordmanniana,DryPoor
821580,Abies nordmanniana,DryPoor
826182,Abies nordmanniana,DryPoor
837839,Abies nordmanniana,DryPoor
840135,Abies nordmanniana,DryPoor
